id,balances_id,balance_documents_id
1,1,3
2,1,1
3,3,3
4,4,3
5,5,3
6,5,1
7,6,3
8,6,2
9,7,3
10,7,1
11,8,3
12,8,1
13,9,3
14,9,1
15,10,3
16,12,3
17,12,1
18,13,3
19,13,1
20,14,3
21,14,1
22,15,3
23,15,1
24,17,3
25,17,1
26,19,3
27,19,1
28,20,3
29,20,2
30,21,3
31,21,1
32,22,3
33,22,1
34,23,3
35,23,1
36,24,3
37,24,1
38,25,3
39,25,1
40,26,3
41,26,1
42,27,3
43,27,1
44,28,3
45,28,1
46,29,3
47,29,2
48,30,3
49,30,1
50,31,1
51,32,3
52,32,1
53,33,3
54,34,3
55,34,1
56,35,3
57,35,1
58,36,3
59,36,1
60,37,3
61,37,1
62,38,3
63,38,1
64,39,3
65,39,1
66,40,3
67,40,1
68,41,3
69,41,1
70,42,3
71,42,1
72,43,3
73,43,1
74,44,3
75,44,1
76,45,3
77,45,1
78,46,3
79,46,1
80,47,3
81,47,1
82,48,3
83,48,1
84,49,3
85,49,1
86,50,3
87,50,1
88,51,3
89,51,1
90,52,3
91,52,1
92,53,3
93,53,1
94,54,3
95,54,1
96,55,3
97,55,1
98,56,3
99,56,1
100,57,3
101,57,1
102,58,3
103,58,1
104,59,3
105,59,1
106,60,3
107,60,1
108,61,1
109,62,3
110,62,2
111,63,3
112,63,1
113,64,3
114,64,1
115,65,3
116,66,3
117,66,1
118,67,3
119,67,1
120,68,3
121,68,1
122,69,3
123,69,2
124,70,3
125,70,1
126,71,1
127,72,3
128,72,1
129,73,3
130,73,1
131,75,3
132,75,1
133,76,3
134,76,1
135,77,3
136,77,1
137,78,3
138,78,1
139,79,3
140,79,2
141,80,3
142,80,2
143,81,3
144,81,1
145,82,3
146,82,2
147,83,3
148,83,2
149,84,3
150,84,1
151,85,3
152,85,1
153,86,3
154,87,3
155,88,3
156,89,3
157,89,1
158,90,3
159,90,1
160,91,3
161,91,1
162,92,3
163,92,1
164,93,1
165,94,3
166,94,1
167,95,3
168,95,1
169,96,3
170,96,1
171,97,3
172,98,3
173,98,1
174,99,3
175,99,1
176,100,3
177,100,1
178,101,3
179,101,1
180,102,3
181,102,1
182,103,3
183,103,1
184,104,3
185,104,1
186,105,3
187,105,1
188,106,2
189,107,3
190,107,2
191,108,3
192,108,1
193,109,3
194,109,2
195,110,3
196,110,2
197,111,3
198,111,2
199,112,3
200,112,1
201,115,3
202,115,2
203,116,2
204,117,3
205,117,2
206,118,3
207,118,1
208,119,3
209,119,2
210,120,3
211,120,2
212,121,3
213,121,2
214,122,3
215,123,3
216,124,3
217,125,3
218,126,3
219,126,1
220,128,3
221,128,2
222,129,3
223,129,2
224,130,3
225,130,2
226,131,3
227,131,2
228,132,3
229,132,1
230,133,3
231,133,1
232,134,3
233,134,1
234,135,3
235,135,1
236,136,3
237,136,2
238,137,3
239,137,2
240,138,3
241,138,2
242,139,3
243,139,2
244,140,3
245,140,2
246,141,3
247,141,2
248,145,3
249,145,1
250,146,3
251,146,1
252,147,3
253,147,1
254,148,3
255,148,1
256,149,3
257,149,2
258,150,3
259,150,1
260,151,3
261,151,1
262,152,3
263,152,1
264,153,3
265,153,2
266,154,3
267,154,1
268,155,2
269,156,2
270,157,3
271,157,2
272,158,3
273,158,2
274,160,3
275,160,1
276,161,3
277,161,2
278,162,3
279,162,1
280,163,3
281,163,2
282,165,3
283,165,1
284,166,3
285,166,2
286,167,3
287,167,2
288,168,3
289,168,2
290,170,3
291,170,2
292,171,3
293,171,2
294,172,3
295,172,1
296,173,3
297,173,2
298,174,3
299,174,1
300,175,3
301,175,1
302,176,3
303,176,2
304,177,3
305,177,2
306,178,3
307,178,2
308,179,3
309,179,1
310,180,3
311,181,3
312,181,1
313,182,3
314,182,2
315,183,3
316,183,1
317,184,3
318,184,1
319,185,3
320,185,2
321,186,2
322,187,3
323,187,2
324,188,3
325,188,2
326,189,3
327,189,2
328,190,3
329,190,1
330,191,3
331,191,1
332,192,1
333,193,3
334,193,2
335,194,3
336,194,2
337,195,3
338,195,2
339,196,3
340,196,1
341,197,3
342,197,1
343,198,3
344,198,1
345,199,3
346,199,1
347,201,3
348,201,2
349,202,3
350,202,1
351,203,3
352,204,1
353,205,3
354,205,1
355,206,3
356,206,1
357,207,3
358,207,1
359,208,2
360,209,3
361,209,1
362,211,3
363,211,2
364,212,3
365,212,2
366,213,3
367,213,2
368,214,3
369,214,2
370,215,3
371,215,1
372,216,3
373,216,1
374,217,3
375,217,1
376,218,2
377,219,2
378,220,3
379,220,1
380,221,3
381,221,1
382,222,2
383,223,3
384,223,1
385,224,3
386,224,1
387,225,3
388,225,1
389,228,3
390,228,2
391,231,3
392,231,1
393,232,3
394,232,1
395,233,3
396,233,2
397,234,3
398,234,1
399,235,3
400,235,1
401,236,3
402,236,1
403,237,2
404,238,3
405,238,2
406,239,2
407,240,3
408,241,3
409,241,2
410,242,3
411,242,1
412,243,3
413,243,1
414,244,3
415,244,2
416,245,3
417,245,2
418,248,3
419,249,3
420,250,3
421,250,2
422,252,3
423,252,2
424,253,2
425,257,3
426,257,1
427,258,3
428,259,3
429,259,2
430,260,3
431,260,2
432,261,3
433,261,2
434,262,3
435,262,2
436,263,3
437,263,2
438,264,3
439,265,3
440,265,1
441,267,3
442,267,2
443,268,3
444,268,1
445,269,1
446,270,3
447,270,1
448,271,3
449,271,1
450,272,3
451,272,2
452,273,3
453,273,2
454,275,3
455,275,1
456,276,3
457,276,1
458,277,1
459,278,3
460,278,1
461,280,3
462,280,1
463,281,3
464,281,1
465,282,3
466,282,1
467,283,3
468,283,1
469,284,3
470,284,1
471,286,3
472,286,2
473,288,3
474,288,2
475,289,3
476,291,3
477,292,3
478,292,2
479,293,3
480,293,1
481,294,3
482,294,1
483,295,3
484,295,1
485,296,3
486,296,2
487,297,3
488,297,1
489,298,3
490,298,1
491,300,3
492,300,1
493,301,3
494,302,3
495,304,3
496,304,1
497,305,3
498,305,1
499,306,1
500,307,3
501,308,3
502,309,3
503,309,2
504,310,3
505,312,3
506,312,1
507,313,3
508,313,1
509,314,3
510,314,2
511,315,3
512,315,1
513,317,3
514,317,1
515,319,3
516,319,2
517,320,3
518,320,1
519,321,3
520,321,1
521,322,3
522,323,3
523,323,2
524,324,2
525,325,3
526,326,1
527,327,3
528,327,2
529,328,3
530,328,1
531,329,3
532,329,1
533,330,3
534,330,1
535,331,3
536,331,1
537,332,3
538,332,1
539,333,3
540,333,1
541,334,3
542,334,1
543,335,3
544,335,1
545,336,3
546,336,1
547,337,3
548,338,3
549,339,3
550,339,1
551,340,3
552,340,2
553,341,3
554,341,1
555,342,3
556,342,1
557,343,3
558,343,2
559,344,3
560,344,1
561,345,2
562,346,3
563,346,1
564,347,3
565,347,1
566,348,3
567,348,1
568,349,3
569,349,1
570,351,3
571,352,3
572,353,1
573,354,3
574,354,1
575,355,3
576,355,1
577,356,3
578,356,1
579,357,3
580,357,1
581,358,3
582,358,1
583,359,3
584,359,1
585,360,3
586,360,1
587,362,3
588,362,1
589,363,3
590,363,1
591,364,3
592,364,1
593,365,3
594,365,2
595,366,3
596,366,1
597,367,3
598,367,1
599,368,3
600,368,1
601,369,3
602,369,1
603,370,3
604,370,1
605,371,2
606,372,3
607,372,1
608,373,3
609,373,1
610,374,3
611,374,1
612,375,3
613,375,1
614,376,3
615,376,1
616,377,3
617,377,1
618,378,3
619,378,2
620,379,3
621,379,1
622,380,3
623,382,3
624,382,2
625,383,3
626,383,2
627,384,3
628,384,1
629,385,3
630,385,1
631,386,3
632,386,1
633,388,3
634,388,2
635,389,3
636,389,1
637,390,3
638,390,1
639,392,3
640,392,1
641,394,2
642,395,3
643,395,1
644,396,3
645,396,1
646,397,3
647,397,1
648,398,3
649,398,1
650,399,3
651,399,2
652,400,1
653,401,3
654,401,1
655,402,3
656,402,1
657,404,3
658,404,1
659,405,3
660,405,1
661,406,3
662,406,1
663,407,3
664,407,2
665,408,3
666,408,2
667,409,3
668,409,1
669,410,1
670,411,3
671,411,1
672,412,3
673,412,2
674,413,3
675,413,2
676,414,3
677,414,1
678,415,3
679,415,1
680,416,3
681,416,2
682,417,3
683,417,1
684,418,3
685,418,1
686,419,3
687,419,2
688,420,3
689,420,2
690,421,3
691,421,1
692,422,3
693,422,1
694,423,3
695,423,1
696,424,3
697,424,1
698,425,3
699,425,1
700,426,3
701,426,1
702,427,1
703,428,3
704,428,1
705,429,3
706,429,1
707,430,3
708,430,1
709,431,3
710,431,1
711,432,3
712,432,1
