id,postal_code,city,country_id
1,1010,Wien,1
2,1020,Wien,1
3,1030,Wien,1
4,1040,Wien,1
5,1050,Wien,1
6,1060,Wien,1
7,1070,Wien,1
8,1072,Wien,1
9,1080,Wien,1
10,1090,Wien,1
11,1140,Wien,1
12,1150,Wien,1
13,1180,Wien,1
14,1190,Wien,1
15,1210,Wien,1
16,1220,Wien,1
17,1230,Wien,1
18,2000,Stockerau,1
19,2115,Ernstbrunn,1
20,2280,Glinzendorf,1
21,2340,Mödling,1
22,2352,Gumpoldskirchen,1
23,2380,Perchtoldsdorf,1
24,2391,Kaltenleutgeben,1
25,2393,Sittendorf,1
26,2540,Bad Vöslau,1
27,2630,TERNITZ,1
28,2700,Wiener Neustadt,1
29,3071,Böheimkirchen,1
30,3072,Kasten bei Böheimkirchen,1
31,3100,St. Pölten,1
32,3123,Großrust,1
33,3170,Hainfeld,1
34,3180,Lilienfeld,1
35,3231,St. Margarethen an der Sierning,1
36,3353,Seitenstetten,1
37,3364,Neuhofen an der Ybbs,1
38,3390,Melk/Donau,1
39,3423,Wördern,1
40,3500,Krems,1
41,3550,Langenlois,1
42,3822,Karlstein,1
43,3910,Zwettl,1
44,4020,Linz,1
45,4030,Linz,1
46,4040,Linz,1
47,4063,Hörsching,1
48,4112,St. Gotthard i. M.,1
49,4240,Freistadt,1
50,4400,Steyr,1
51,4452,Ternberg,1
52,4511,Alhaming,1
53,4553,Schlierbach,1
54,4560,Kirchdorf an der Krems,1
55,4643,Pettenbach,1
56,4644,Scharnstein,1
57,4810,gmunden,1
58,4894,Oberhofen,1
59,4950,Altheim,1
60,5010,Salzburg,1
61,5017,Salzburg,1
62,5020,Salzburg,1
63,5026,Salzburg,1
64,5071,Wals,1
65,5081,Anif,1
66,5102,Anthering,1
67,5110,Oberndorf,1
68,5134,Schwand im Innkreis,1
69,5161,Elixhausen,1
70,5162,Obertrum am See,1
71,5164,Seeham,1
72,5201,Seekirchen am Wallersee,1
73,5202,Neumarkt am Wallersee,1
74,5300,Hallwang,1
75,5303,Thalgau,1
76,5322,Hof/Salzburg,1
77,5400,Hallein,1
78,5423,St. Koloman,1
79,5531,Eben/Pg.,1
80,5550,Radstadt,1
81,5562,Obertauern,1
82,5620,Schwarzach,1
83,5622,Goldegg,1
84,5640,Bad Gastein,1
85,5710,Kaprun,1
86,5721,Piesendorf,1
87,5730,Mittersill,1
88,5741,Neukirchen,1
89,5742,Wald im Pinzgau,1
90,5760,Saalfelden,1
91,5771,Leogang,1
92,6020,Innsbruck,1
93,6060,Hall in Tirol,1
94,6065,Thaur,1
95,6067,Absam,1
96,6105,Leutasch,1
97,6112,Wattens,1
98,6130,Schwaz,1
99,6136,Pill,1
100,6161,Natters,1
101,6176,Völs,1
102,6330,Kufstein,1
103,6335,Thiersee,1
104,6342,Niederndorf,1
105,6343,Erl,1
106,6352,Ellmau,1
107,6361,Hopfgartn,1
108,6370,Kitzbühel,1
109,6382,Kirchdorf in Tirol,1
110,6391,Fieberbrunn,1
111,6410,Telfs,1
112,6414,Mieming,1
113,6422,Stams,1
114,6441,Umhausen,1
115,6460,Imst,1
116,6481,St. Leonhard,1
117,6543,Nauders,1
118,6700,Bludenz,1
119,6706,Bürs,1
120,6710,Nenzing,1
121,6713,Ludesch,1
122,6723,Blons,1
123,6764,Lech,1
124,6800,Feldkirch,1
125,6811,Göfis,1
126,6830,Rankweil,1
127,6835,Dafins,1
128,6840,Götzis,1
129,6841,Mäder,1
130,6844,Altach,1
131,6845,Hohenems,1
132,6850,Dornbirn,1
133,6861,Alberschwende,1
134,6863,Egg,1
135,6900,Bregenz,1
136,6971,Hard,1
137,7000,Eisenstadt,1
138,7022,Schattendorf,1
139,7023,Pöttelsdorf,1
140,7042,Antau,1
141,7064,Oslip,1
142,7222,Rohrbach,1
143,7400,Oberwart,1
144,7410,Loipersdorf-Kitzladen,1
145,74582,Gerabronn-Dünsbach,1
146,8010,Graz,1
147,8020,Graz,1
148,8051,Lieboch,1
149,8111,Gratwein-Straßengel,1
150,8144,Tobelbad,1
151,8160,Weiz,1
152,8181,St. Ruprecht an der Raab,1
153,8184,Anger,1
154,8224,Kaindorf bei Hartberg,1
155,8243,Pinggau,1
156,8322,Fladnitz im Raabtal,1
157,8564,Krottendorf-Gaisfeld,1
158,8625,Turnau,1
159,8971,Rohrmoos,1
160,9020,Klagenfurt am Wörthersee,1
161,9500,Villach,1
162,9556,Liebenfels,1
163,9782,Nikolsdorf,1
164,9900,Lienz,1
165,9990,Debant,1
166,9991,Dölsach,1
167,2000,Antwerpen,2
168,2018,Antwerpen,2
169,3010,Kessel-Lo,2
170,9000,Gent,2
171,9040,Gent,2
172,9041,Oostakker,2
173,1022,Chavannes,3
174,1922,Les Granges,3
175,3012,Bern,3
176,3048,Worblaufen,3
177,4107,Ettingen (Basel-Landschaft),3
178,4312,Magden,3
179,6002,Luzern,3
180,6218,Ettiswil,3
181,6333,Hünenberg See,3
182,8005,Zürich,3
183,8032,Zürich,3
184,8036,Zürich,3
185,8232,Merishausen,3
186,8268,Salenstein,3
187,8356,Aadorf / Ettenhausen,3
188,8400,Winterthur,3
189,8405,Winterthur,3
190,8406,Winterthur,3
191,8408,Winterthur,3
192,8500,Frauenfeld,3
193,8598,Bottighofen,3
194,8832,Feusisberg,3
195,9100,Herisau,3
196,9402,Mörschwil,3
197,01069,Dresden,4
198,04103,Leipzig,4
199,04107,Leipzig,4
200,04275,Leipzig,4
201,04741,Roßwein,4
202,06846,Dessau,4
203,07646,Weißbach,4
204,08626,Eichigt,4
205,09112,Chemnitz,4
206,10115,Berlin,4
207,10117,Berlin,4
208,10179,Berlin,4
209,10243,Berlin,4
210,10245,Berlin,4
211,10247,Berlin,4
212,10289,Berlin,4
213,10317,Berlin,4
214,10318,Berlin,4
215,10365,Berlin,4
216,10405,Berlin,4
217,10409,Berlin,4
218,10437,Berlin,4
219,10555,Berlin,4
220,10557,Berlin,4
221,10585,Berlin,4
222,10707,Berlin,4
