id,organization,locations_id,employees_id,sectors_id
14885,4e solutions GmbH,550,2.0,38.0
14886,4plus5,744,2.0,6.0
35275,A & K Engemann GbR,390,2.0,25.0
44668,A&P Steuerberatungsgesellschaft mbH,266,3.0,7.0
29652,AAP-ARCHITEKTEN ZT-GMBH,9,3.0,6.0
14887,Abitare,227,2.0,8.0
46986,"abw – gemeinnützige Gesellschaft für Arbeit, Bildung und Wohnen mbH",261,3.0,10.0
92361,"Action Waterscape, S.L.",859,\N,26.0
14888,ad fontes,337,2.0,11.0
40981,ADAMAH BioHof G. Zoubek Vertriebs KG,20,2.0,25.0
14973,Adelby 1 Kinder- und Jugenddienste gGmbH,323,12.0,16.0
92389,AFEF-EBC,832,\N,26.0
150227,Afier Accountants + Adviseurs,921,5.0,7.0
30337,Africa Green Tec AG,516,3.0,12.0
29635,AGENTUR FÜR EVALUATION & QUALITÄTSENTWICKLUNG,195,1.0,7.0
132863,AGIT mbH,479,3.0,\N
92421,Agresta Soc. Cooperativa,835,\N,26.0
92373,Agricología José Manuel Bisetto,801,\N,26.0
36548,"AISENBREY, RICHTER & PARTNER",206,2.0,7.0
37075,Aka Merch & Textil GmbH,471,1.0,32.0
58579,Aktion Eine Welt e.V.,790,1.0,38.0
29850,Alex Wissmann,187,1.0,7.0
92467,Alive Surf,927,1.0,26.0
78313,Allgäu Batterie GmbH & Co. KG,718,4.0,11.0
35674,Allgäu GmbH,714,3.0,26.0
113132,Allgemengwuel Agence,908,1.0,7.0
14665,ALLMENDA Social Business eG,132,1.0,33.0
92491,Aloeysalud,824,1.0,26.0
14889,Alpendruck,115,2.0,28.0
93957,"Alpenland Gemeinnützige Bau-, Wohn- und Siedlungsgenossenschaft reg.Gen.m.b.H.",31,5.0,30.0
139397,Alpha IC GmbH,784,5.0,30.0
92475,Alter Consulta,823,1.0,26.0
92443,Altur coop,800,\N,26.0
14818,"Amann, Ulrike, Raum für Gemeinwesenentwicklung",121,1.0,7.0
91614,AMC Luxembourg,910,3.0,13.0
14819,AmVieh-Theater,382,2.0,37.0
14772,ananjo informatiker,515,2.0,9.0
29214,"Andrea Aldosser, Ganzheitliche Personal- und Organisationsentwicklung",107,1.0,7.0
30925,Andreas Heilmann Gartengestaltung,656,2.0,25.0
92507,Angaraveca,822,1.0,26.0
92457,Animación y logística cultural S.L.U.,853,\N,26.0
