id,organization,country,postal_code,city,company_size,economic_sector
14885,4e solutions GmbH,DE,70794,Filderstadt,(2)3-10,Handel / Konsum
14886,4plus5,DE,89077,Ulm,(2)3-10,Baugewerbe / Architektur
35275,A & K Engemann GbR,DE,34439,Willebadessen,(2)3-10,Nahrungsmittel / Land /  Forstwirtschaft
44668,A&P Steuerberatungsgesellschaft mbH,DE,14480,Potsdam,(3)11-25,Beratung / Consulting
29652,AAP-ARCHITEKTEN ZT-GMBH,AT,1080,Wien,(3)11-25,Baugewerbe / Architektur
14887,Abitare,DE,10829,Berlin,(2)3-10,Handwerk
46986,"abw – gemeinnützige Gesellschaft für Arbeit, Bildung und Wohnen mbH",DE,14057,Berlin,(3)11-25,Bildung / Universität / FH / Schulen
92361,"Action Waterscape, S.L.",ES,46200,Paiporta,(8) Todas las tallas,Otros
14888,ad fontes,DE,27624,Geestland,(2)3-10,Elektro / Elektronik
40981,ADAMAH BioHof G. Zoubek Vertriebs KG,AT,2280,Glinzendorf,(2)3-10,Nahrungsmittel / Land / Forstwirtschaft
14973,Adelby 1 Kinder- und Jugenddienste gGmbH,DE,24937,Flensburg,(7)250-,Gesundheitswesen / Soziales / Pflege
92389,AFEF-EBC,ES,37187,Miranda de Azán,(8) Todas las tallas,Otros
150227,Afier Accountants + Adviseurs,NL,7901 AR,Tynaarlo,(5)51-100,Beratung / Consulting
30337,Africa Green Tec AG,DE,63512,Hainburg,(3)11-25,Energiewirtschaft
29635,AGENTUR FÜR EVALUATION & QUALITÄTSENTWICKLUNG,CH,9100,Herisau,(1)1-2,Beratung / Consulting
132863,AGIT mbH,DE,52074,52074 Aachen,(3)11-25,Sonstige Branchen
92421,Agresta Soc. Cooperativa,ES,38004,Santa Cruz de Tenerife,(8) Todas las tallas,Otros
92373,Agricología José Manuel Bisetto,ES,03759,Benidoleig,(8) Todas las tallas,Otros
36548,"AISENBREY, RICHTER & PARTNER",DE,10115,Berlin,(2)3-10,Beratung / Consulting
37075,Aka Merch & Textil GmbH,DE,50931,Köln,(1)1-2,Seminar / Messeanbieter
58579,Aktion Eine Welt e.V.,DE,97616,Bad Neustadt,(1)1-2,Handel / Konsum
29850,Alex Wissmann,CH,8356,Aadorf / Ettenhausen,(1)1-2,Beratung / Consulting
92467,Alive Surf,UK,BT56 8FQ,Portrush,(1)1-2,Otros
78313,Allgäu Batterie GmbH & Co. KG,DE,87490,Haldenwang,(4)26-50,Elektro / Elektronik
35674,Allgäu GmbH,DE,87435,Kempten,(3)11-25,Sonstige Branchen
113132,Allgemengwuel Agence,LU,4980,Reckingen/Mess,(1)1-2,Beratung / Consulting
14665,ALLMENDA Social Business eG,AT,6850,Dornbirn,(1)1-2,Dienstleistung
92491,Aloeysalud,ES,28027,Madrid,(1)1-2,Otros
14889,Alpendruck,AT,6460,Imst,(2)3-10,Druck / Papier / Verpackung
93957,"Alpenland Gemeinnützige Bau-, Wohn- und Siedlungsgenossenschaft reg.Gen.m.b.H.",AT,3100,St. Pölten,(5)51-100,Immobilien / Facility Management
139397,Alpha IC GmbH,DE,96047,Bamberg,(5)51-100,Immobilien / Facility Management
92475,Alter Consulta,ES,28014,Madrid,(1)1-2,Otros
92443,Altur coop,ES,03690,Sant Vicent del Raspeig,(8) Todas las tallas,Otros
14818,"Amann, Ulrike, Raum für Gemeinwesenentwicklung",AT,6713,Ludesch,(1)1-2,Beratung / Consulting
