id,organization,balance_count_org,balance_count_bal,details_org,details_bal
14654,Genusshandwerker,2,1,31-03-2018,31-03-2018
14662,Landgut Stober Kontor GmbH & Co. Betriebs KG,2,1,30-04-2021,30-04-2021
14669,"Cosyma, EPU",3,2,"31-10-2020, 31-03-2024","31-10-2020, 31-03-2024"
14741,PCH-Fischer GmbH & Co. KG,1,0,,
14743,Ingenieurbüro für Bautechnik,1,0,,
14757,UnternehmensGrün e.V.,2,1,31-12-2017,31-12-2017
14779,WBS TRAINING AG,3,2,"30-11-2018, 31-01-2022, 28-02-2026","31-01-2022, 30-11-2018"
14788,Lilly Deutschland GmbH,3,2,"31-01-2022, 31-12-2023, 28-02-2026","31-01-2022, 31-12-2023"
14793,"Landesverband Amateurtheater Baden-Württemberg e.V.,",1,0,,
14812,Hans Stockmar GmbH & Co.KG,3,2,"30-04-2022, 31-01-2024, 28-02-2026","30-04-2022, 31-01-2024"
14813,GBG – Mannheimer Wohnungsbaugesellschaft mbH,1,0,,
14815,FnF Mannheimer Gesellschaft zur Förderung von Arbeitsplätzen,1,0,,
14836,germanBroker.net Aktiengesellschaft,2,1,,
14907,Prior1 GmbH,3,2,"31-12-2020, 31-08-2023","31-12-2020, 31-08-2023"
14919,Wiedemann Jörn,4,3,"25-03-2016, 30-11-2020, 31-07-2023, 31-10-2025","30-11-2020, 25-03-2016, 31-07-2023"
14926,Eigenbetrieb Stadtentwässerung Mannheim (EBS Mannheim),1,0,,
14929,Christian Felber,2,0,31-01-2025,
14938,BKK ProVita,4,3,"31-12-2017, 30-01-2020, 31-01-2022","30-01-2020, 31-01-2022, 31-12-2017"
14943,Giesinger Biermanufaktur und Spez. Braugesellschaft mbH,1,0,31-07-2022,
14955,n.e.s.t. Bauprojektierung und Vermietung AG,4,3,"31-05-2022, 30-11-2023, 30-04-2024","31-05-2022, 30-11-2023, 30-04-2024"
14967,klien + team Holistische Organisationsberatung,3,2,"31-03-2016, 31-01-2022, 31-07-2025","31-03-2016, 31-01-2022"
14975,Führen mit… Urte Töpfer,3,2,"30-10-2019, 31-05-2022, 28-09-2025","30-10-2019, 31-05-2022"
14993,naturblau+++ Die Werteagentur,2,1,31-05-2017,31-05-2017
18598,Novatec Consulting GmbH,2,1,31-10-2022,31-10-2022
19542,Simon Brechel Nachhaltigkeitsmanagement,2,1,31-10-2023,31-10-2023
23250,Stefan Wladarsch,1,0,,
23252,Luisenburg Festspiele,1,0,,
25426,Petersilchen GmbH,2,1,,
25485,Landkreis Marburg-Biedenkopf / Eigenbetrieb Jugend- und Kulturförderung,1,0,28-02-2023,
25791,Brauerei Gutmann,2,1,"30-04-2023, 28-02-2026",30-04-2023
34938,be4energy GmbH,2,1,30-09-2023,30-09-2023
35274,Kaiser & Kühne Freizeitgeräte GmbH,2,1,30-06-2023,30-06-2023
35306,SAD Nahverkehr AG,1,0,,
35676,Dreimäderlhaus,1,0,,
42107,GWÖ – Gemeinwohl-Ökonomie GmbH,1,0,,
45837,Mag. Dr. Martin Sturmer,1,0,,
46088,Yellow Birds Consulting GmbH & Co. KG,2,1,"31-12-2019, 31-05-2023",31-12-2019
50759,Josef Sigl e.U.,1,0,,
52502,Baril Coatings,2,1,31-01-2023,31-01-2023
67263,Stuttgarter Bäder,1,0,30-04-2025,
72941,Fundraiserperpassione srl sb,1,0,29-07-2023,
72957,FONDAZIONE MIRAFIORI,1,0,29-07-2023,
72960,Società Mutua Piemonte ETS,1,0,29-07-2023,
78313,Allgäu Batterie GmbH & Co. KG,2,1,31-07-2024,31-07-2024
82407,KREUZER Medien GmbH,1,0,,
82677,Meraner Weinhaus – PUR Südtirol,1,0,,
90744,Faunt,1,0,,
99328,prosa Architektur+Stadtplanung BDA,2,1,31-07-2025,31-07-2025
101564,Katharina Fiedler,1,0,,
106077,Križevci Entrepreneurship Center,1,0,31-08-2025,
112013,Schulte Verpackungs-Systeme GmbH,1,0,,
117420,Leotron Srl Società Benefit,1,0,05-05-2024,
117424,Centro Papa Giovanni XXIII Soc. Cooperativa Soc,1,0,05-05-2024,
117428,Cha Maria Srl Società Benefit,1,0,05-05-2024,
124183,Husumer Horizonte,1,0,,
126541,Indaco Team,2,0,"12-05-2023, 01-06-2025",
126556,Pineta Nature Resort Srl,1,0,12-12-2024,
126575,Hotel Olympic Srl SB,1,0,12-12-2024,
126578,Sadesign SNC,1,0,12-12-2024,
126584,Tenero Consulting sas,1,0,01-06-2025,
126586,CAES – Consorzio Assicurativo Etico Solidale,1,0,01-06-2025,
126590,Società Mutua Piemonte ETS,1,0,01-06-2025,
127521,Armin Schmelzle Entwicklungsberatung,1,0,31-07-2025,
129847,LEDtec GmbH,2,1,,
131651,Fachhochschule Dortmund,1,0,31-01-2026,
133262,Monteverde Cooperativa Sociale di Solidarietà – Onlus,1,0,,
133266,Fundraiserperpassione srl sb,1,0,01-06-2025,
133268,STL srl sb,2,1,"12-05-2023, 01-06-2025",12-05-2023
133339,Feelera Srl società benefit,1,0,16-06-2024,
133341,Azienda Agricola Foradori S.s,1,0,,
133344,IRIS Soc. Coop. Agricola,1,0,16-06-2024,
133348,Treebu Srl società benefit,1,0,16-06-2024,
133351,Greenplanner srl società benefit,1,0,,
133353,Biocaseificio Tomasoni,1,0,16-06-2024,
135335,borisgloger consulting gmbh,1,0,,
139376,"Stadtentwässerungsbetriebe Köln, AöR",1,0,31-12-2025,
139906,Die Autoschmiede Ringsberg GmbH,1,0,31-01-2026,
140348,Dachstiftung Diakonie,1,0,31-01-2026,
143125,greencentive gUG,1,0,31-12-2025,
143130,Futour,1,0,31-12-2025,
144919,Tepui Energy UG,1,0,,
150227,Afier Accountants + Adviseurs,1,0,,
150760,Marianne Voit Coaching-Training-Supervision,1,0,31-03-2026,
150945,Rofin Gewerbepark Eberswalde,1,0,,
152117,Superuse Studios NL BV,1,0,,
153644,Johannesstift Diakonie Jugendhilfe gGmbH,1,0,,
153840,corsus corporate sustainability GmbH,1,0,,
153924,ZABELDruck GmbH,1,0,,
153963,viadee Unternehmensberatung AG,1,0,,
154460,Szene – Verein zur Förderung der Kultur,1,0,28-02-2026,
154693,WITTIG HR Consulting,1,0,31-03-2026,
155753,Thomas Uloth Unternehmensberatung,1,0,,
157602,IDFS Sp. z o.o.,1,0,,
161865,Kurhaus Schärding Barmherzige Brüder,1,0,,
162155,Druckerei Lokay e.K.,1,0,,
162456,Henze Boron Nitride Products AG,1,0,,
163027,Leocor gGmbH,1,0,,
163148,rw-cct GmbH,6,5,"31-05-2021, 30-09-2022","30-09-2022, 31-05-2021"
