organization_id,organization,balance_audit_type,balance_type,balance_version,submission_date,issue_date,valid_until_date,balance_score,documents
14665.0,ALLMENDA Social Business eG,Audit,M5.0,Compact,28-10-2018,31-05-2019,31-05-2021,444.0,Report+Attestation
14666.0,Backkultur,Audit,M5.0,Full,31-01-2019,31-05-2019,31-05-2021,453.0,Report+Attestation
14667.0,Bernhard Oberrauch,Audit,M5.0,Full,01-09-2018,31-03-2021,31-03-2023,520.0,Report+Attestation
14668.0,buch7.de GmbH,Audit,M5.0,Full,16-11-2018,31-12-2018,31-12-2020,517.0,Report+Attestation
14669.0,"Cosyma, EPU",Audit,M5.0,Compact,01-07-2018,31-10-2018,31-10-2020,567.0,Report+Attestation
14670.0,Culumnatura,Audit,M5.0,Compact,01-10-2018,30-04-2019,30-04-2021,722.0,Report+Attestation
14671.0,Druckerei Zollenspieker,Audit,M4.1,Standard,12-11-2018,31-05-2019,31-05-2021,590.0,Report+Attestation
14672.0,ECG Ecotopia,Audit,M4.1,Standard,30-11-2018,31-03-2019,31-03-2021,,Attestation
14673.0,Fuchs Buchbinderei,Audit,M5.0,Full,27-12-2018,30-04-2019,30-04-2021,260.0,Report+Attestation
14655.0,Gitta Walchner,Audit,M5.0,Compact,01-09-2018,31-05-2019,31-05-2021,443.0,Report+Attestation
14656.0,Humanistic Management Practices gGmbH,Audit,M5.0,Full,01-07-2018,28-02-2019,28-02-2021,407.0,Report+Attestation
14657.0,Jaritz- Welten verbinden,Audit,M5.0,Compact,26-05-2018,,,,
14658.0,Jürgen Linsenmaier,Audit,M5.0,Compact,24-08-2018,28-02-2019,28-02-2021,245.0,Report+Attestation
14659.0,Karla Schimmel,Audit,M5.0,Compact,15-11-2018,21-03-2019,21-03-2021,278.0,Report+Attestation
14660.0,Kortz Konfliktspezialisten,Audit,M4.1,Standard,01-07-2018,31-01-2019,31-01-2021,627.0,Report+Attestation
14661.0,La Perla,Audit,M5.0,Full,01-04-2019,,,,
14662.0,Landgut Stober,Audit,M5.0,Compact,31-05-2018,30-04-2019,30-04-2021,690.0,Report+Attestation
