id,organization,country_code,country_name,postal_code,city,company_size_category,employees,economic_sector_EN,economic_sector_DE,number_of_balances,balance1_type_code,balance1_version,balance1_audit_type,balance1_valid_until_date,balance1_valid_until_year,balance1_year,balance1_score,balance1_documents,balance2_type_code,balance2_version,balance2_audit_type,balance2_valid_until_date,balance2_valid_until_year,balance2_year,balance2_score,balance2_documents,balance3_type_code,balance3_version,balance3_audit_type,balance3_valid_until_date,balance3_valid_until_year,balance3_year,balance3_score,balance3_documents,balance4_type_code,balance4_version,balance4_audit_type,balance4_valid_until_date,balance4_valid_until_year,balance4_year,balance4_score,balance4_documents,balance5_type_code,balance5_version,balance5_audit_type,balance5_valid_until_date,balance5_valid_until_year,balance5_year,balance5_score,balance5_documents,balance6_type_code,balance6_version,balance6_audit_type,balance6_valid_until_date,balance6_valid_until_year,balance6_year,balance6_score,balance6_documents,balance7_type_code,balance7_version,balance7_audit_type,balance7_valid_until_date,balance7_valid_until_year,balance7_year,balance7_score,balance7_documents,balance8_type_code,balance8_version,balance8_audit_type,balance8_valid_until_date,balance8_valid_until_year,balance8_year,balance8_score,balance8_documents
14885,4e solutions GmbH,DE,Germany,70794,Filderstadt,Micro (≤10),3-10,Trade / Consumption,Handel / Konsum,1.0,4.1,Standard,Peer,30-03-2020,2020.0,2018.0,690,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14886,4plus5,DE,Germany,89077,Ulm,Micro (≤10),3-10,Construction / Architecture,Baugewerbe / Architektur,1.0,M5.0,Compact,Peer,28-02-2021,2021.0,2019.0,,Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35275,A & K Engemann GbR,DE,Germany,34439,Willebadessen,Micro (≤10),3-10,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1.0,M5.0,Compact,Peer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44668,A&P Steuerberatungsgesellschaft mbH,DE,Germany,14480,Potsdam,Small (≤50),11-25,Consulting,Beratung / Consulting,1.0,4.0,Standard,Peer,31-12-2014,2014.0,2012.0,427,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29652,AAP-ARCHITEKTEN ZT-GMBH,AT,Austria,1080,Wien,Small (≤50),11-25,Construction / Architecture,Baugewerbe / Architektur,2.0,3.0,Standard,Desk,,,,,Report,4.1,Standard,Desk,,,,,Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14887,Abitare,DE,Germany,10829,Berlin,Micro (≤10),3-10,Craft,Handwerk,2.0,4.1,Standard,Peer,31-05-2017,2017.0,2015.0,367,Report,4.1,Standard,Desk,30-11-2020,2020.0,2018.0,476.0,Attestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46986,"abw – gemeinnützige Gesellschaft für Arbeit, Bildung und Wohnen mbH",DE,Germany,14057,Berlin,Small (≤50),11-25,Education / University / Polytechnic / Schools,Bildung / Universität / FH / Schulen,1.0,M5.0,Compact,Peer,31-10-2023,2023.0,2021.0,358,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92361,"Action Waterscape, S.L.",ES,Spain,46200,Paiporta,,,Other,Sonstige,2.0,M5.0,Full,Peer,,,,,,M5.0,Full,On site,30-10-2019,2019.0,2017.0,491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14888,ad fontes,DE,Germany,27624,Geestland,Micro (≤10),3-10,Electrical / Electronics,Elektro / Elektronik,1.0,M5.0,Compact,Peer,31-03-2021,2021.0,2019.0,,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40981,ADAMAH BioHof G. Zoubek Vertriebs KG,AT,Austria,2280,Glinzendorf,Micro (≤10),3-10,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1.0,4.1,Standard,Desk,30-06-2018,2018.0,2016.0,556,Report+Attestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14973,Adelby 1 Kinder- und Jugenddienste gGmbH,DE,Germany,24937,Flensburg,Large (>250),>250,Health / Social Affairs / Nursing,Gesundheitswesen / Soziales / Pflege,2.0,M5.0,Full,On site,30-09-2022,2022.0,2020.0,392,Report+Attestation,M5.0,Full,On site,31-12-2025,2025.0,2023.0,475.0,Attestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92389,AFEF-EBC,ES,Spain,37187,Miranda de Azán,,,Other,Sonstige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150227,Afier Accountants + Adviseurs,NL,Netherlands,7901 AR,Tynaarlo,Mid (≤250),51-100,Consulting,Beratung / Consulting,1.0,M5.0,Compact,On site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30337,Africa Green Tec AG,DE,Germany,63512,Hainburg,Small (≤50),11-25,Energy,Energiewirtschaft,1.0,M5.0,Compact,Peer,,,,,Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29635,AGENTUR FÜR EVALUATION & QUALITÄTSENTWICKLUNG,CH,Switzerland,9100,Herisau,Micro (≤10),1-2,Consulting,Beratung / Consulting,1.0,4.1,Standard,Desk,,,,,Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132863,AGIT mbH,DE,Germany,52074,Aachen,Small (≤50),11-25,,,1.0,M5.0,Full,On site,31-10-2025,2025.0,2023.0,270,Report+Attestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92421,Agresta Soc. Cooperativa,ES,Spain,38004,Santa Cruz de Tenerife,,,Other,Sonstige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92373,Agricología José Manuel Bisetto,ES,Spain,03759,Benidoleig,,,Other,Sonstige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36548,"AISENBREY, RICHTER & PARTNER",DE,Germany,10115,Berlin,Micro (≤10),3-10,Consulting,Beratung / Consulting,1.0,4.0,Standard,Peer,31-12-2015,2015.0,2013.0,622,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37075,Aka Merch & Textil GmbH,DE,Germany,50931,Köln,Micro (≤10),1-2,Seminar / Fair provider,Seminar- / Messeanbieter,1.0,M5.0,Compact,Peer,30-11-2023,2023.0,2021.0,324,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58579,Aktion Eine Welt e.V.,DE,Germany,97616,Bad Neustadt,Micro (≤10),1-2,Trade / Consumption,Handel / Konsum,1.0,M5.0,Compact,On site,31-03-2024,2024.0,2022.0,569,Report+Attestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29850,Alex Wissmann,CH,Switzerland,8356,Aadorf / Ettenhausen,Micro (≤10),1-2,Consulting,Beratung / Consulting,1.0,M5.0,Compact,Peer,30-04-2023,2023.0,2021.0,377,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92467,Alive Surf,UK,United Kingdom,BT56 8FQ,Portrush,Micro (≤10),1-2,Other,Sonstige,1.0,M5.0,Full,On site,01-04-2019,2019.0,2017.0,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78313,Allgäu Batterie GmbH & Co. KG,DE,Germany,87490,Haldenwang,Small (≤50),26-50,Electrical / Electronics,Elektro / Elektronik,2.0,M5.0,Full,Peer,31-07-2024,2024.0,2022.0,266,Report+Certificate,M5.0,Full,On site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35674,Allgäu GmbH,DE,Germany,87435,Kempten,Small (≤50),11-25,Other,Sonstige,1.0,M5.0,Full,Peer,31-07-2023,2023.0,2021.0,291,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113132,Allgemengwuel Agence,LU,Luxembourg,4980,Reckingen/Mess,Micro (≤10),1-2,Consulting,Beratung / Consulting,1.0,M5.0,Compact,On site,31-07-2025,2025.0,2023.0,242,Attestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14665,ALLMENDA Social Business eG,AT,Austria,6850,Dornbirn,Micro (≤10),1-2,Services,Dienstleistung,2.0,4.1,Standard,Peer,30-12-2018,2018.0,2016.0,627,Report+Certificate,M5.0,Compact,On site,31-05-2021,2021.0,2019.0,444.0,Report+Attestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92491,Aloeysalud,ES,Spain,28027,Madrid,Micro (≤10),1-2,Other,Sonstige,1.0,M5.0,Full,On site,20-01-2016,2016.0,2014.0,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14889,Alpendruck,AT,Austria,6460,Imst,Micro (≤10),3-10,Printing / Paper / Packaging,Druck / Papier / Verpackung,1.0,M5.0,Compact,Desk,31-12-2020,2020.0,2018.0,304,Report+Attestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93957,"Alpenland Gemeinnützige Bau-, Wohn- und Siedlungsgenossenschaft reg.Gen.m.b.H.",AT,Austria,3100,St. Pölten,Mid (≤250),51-100,Real Estate / Facility Management,Immobilien / Facility Management,1.0,M5.0,Full,Peer,30-11-2024,2024.0,2022.0,444,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139397,Alpha IC GmbH,DE,Germany,96047,Bamberg,Mid (≤250),51-100,Real Estate / Facility Management,Immobilien / Facility Management,1.0,M5.0,Full,Peer,30-11-2025,2025.0,2023.0,338,Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
