id,organization,organization_link,country_code,country_name,postal_code,city,company_size_category,employees,economic_sector_EN,economic_sector_DE,number_of_balances_org_table,balance_scores
14885,4e solutions GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=9bdu6,DE,Germany,70794,Filderstadt,Micro (≤10),3-10,Trade / Consumption,Handel / Konsum,1,{'30-03-2020': 690}
14886,4plus5,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=6olka,DE,Germany,89077,Ulm,Micro (≤10),3-10,Construction / Architecture,Baugewerbe / Architektur,1,
35275,A & K Engemann GbR,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=w5zyz,DE,Germany,34439,Willebadessen,Micro (≤10),3-10,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,
44668,A&P Steuerberatungsgesellschaft mbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=rasmd,DE,Germany,14480,Potsdam,Small (≤50),11-25,Consulting,Beratung / Consulting,1,{'31-12-2014': 427}
29652,AAP-ARCHITEKTEN ZT-GMBH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=da7lg,AT,Austria,1080,Wien,Small (≤50),11-25,Construction / Architecture,Baugewerbe / Architektur,2,
14887,Abitare,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=3sz2i,DE,Germany,10829,Berlin,Micro (≤10),3-10,Craft,Handwerk,2,"{'31-05-2017': 367, '30-11-2020': 476}"
46986,"abw – gemeinnützige Gesellschaft für Arbeit, Bildung und Wohnen mbH",https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=vjsi5,DE,Germany,14057,Berlin,Small (≤50),11-25,Education / University / Polytechnic / Schools,Bildung / Universität / FH / Schulen,1,{'31-10-2023': 358}
92361,"Action Waterscape, S.L.",https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=o2z0h,ES,Spain,46200,Paiporta,,,Other,Sonstige,2,{'30-10-2019': 491}
14888,ad fontes,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=bvreg,DE,Germany,27624,Geestland,Micro (≤10),3-10,Electrical / Electronics,Elektro / Elektronik,1,
40981,ADAMAH BioHof G. Zoubek Vertriebs KG,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=5lef1,AT,Austria,2280,Glinzendorf,Micro (≤10),3-10,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,{'30-06-2018': 556}
14973,Adelby 1 Kinder- und Jugenddienste gGmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=y6ccf,DE,Germany,24937,Flensburg,Large (>250),>250,Health / Social Affairs / Nursing,Gesundheitswesen / Soziales / Pflege,2,"{'30-09-2022': 392, '31-12-2025': 475}"
150227,Afier Accountants + Adviseurs,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=caqa6,NL,Netherlands,7901 AR,Tynaarlo,Mid (≤250),51-100,Consulting,Beratung / Consulting,1,
30337,Africa Green Tec AG,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=fwxft,DE,Germany,63512,Hainburg,Small (≤50),11-25,Energy,Energiewirtschaft,1,
29635,AGENTUR FÜR EVALUATION & QUALITÄTSENTWICKLUNG,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=2y42g,CH,Switzerland,9100,Herisau,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,
132863,AGIT mbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=pi1sy,DE,Germany,52074,Aachen,Small (≤50),11-25,Economic Promotion,Wirtschaftsförderung,1,{'31-10-2025': 270}
